date,P02,P04,P07,P09,P10,P11,P12,P13,P14,P15,P16,C01,P03,P20
2011-06-19,11.0,4.1,3.4,2.8000000000000003,2.2,2.6,2.6,2.8,2.3000000000000003,2.6,2.4,268.21736111111113,2.8000000000000003,2.5
2011-06-20,1.6,0.9,1.2000000000000002,0.8,1.5,1.3,1.2000000000000002,0.9,1.5,0.2,1.6,246.72708333333333,0.9,1.0
2011-06-21,1.4000000000000001,5.9,3.3000000000000003,9.0,2.3000000000000003,3.8000000000000003,3.2,4.1,5.4,3.9,5.5,302.74687500000005,6.5,3.3000000000000003
2011-06-22,0.5,0.9,1.1,1.5,0.8,1.3,2.1,1.8,0.9,0.6000000000000001,1.3,260.3303135888502,0.9,0.8
2011-06-23,1.0,0.9,1.4,1.6,1.5,1.5,2.3,2.5,1.5,0.6000000000000001,2.8000000000000003,258.29097222222225,1.0,0.8
2011-06-24,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,238.9909722222222,0.5,0.0
2011-06-25,2.4000000000000004,1.8,2.1,2.1,2.5,2.1,2.2,1.7000000000000002,2.2,1.0,2.0,254.14409722222223,1.8,1.8
2011-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.62118055555553,0.0,0.0
2011-06-27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,240.66829268292685,0.0,0.0
2011-06-28,13.299999999999999,18.3,16.8,16.1,10.200000000000001,11.6,13.4,0.2,17.0,12.5,15.4,279.6222222222222,17.0,9.0
2011-06-29,1.8,1.8,1.8,2.6,1.5,2.0,2.9,1.9000000000000001,1.8,1.4,1.8,334.7104166666667,2.0,1.9000000000000001
2011-06-30,1.3,0.0,2.7,0.0,3.3,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,234.78194444444443,0.0,1.8
2011-07-01,0.5,0.0,4.7,5.8,4.8,1.2,0.1,3.9,0.7,0.0,0.1,236.49479166666666,0.0,3.2
2011-07-02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.50522648083623,0.0,0.0
2011-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.49583333333334,0.0,0.0
2011-07-04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.55659722222222,0.0,0.0
2011-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.5392361111111,0.0,0.0
2011-07-06,4.1000000000000005,3.1,4.7,2.6,2.5,5.2,2.1,2.8,2.7,3.9,4.6,268.06319444444443,3.7,2.4
2011-07-07,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,228.26968641114982,0.2,0.1
2011-07-08,0.30000000000000004,1.5,0.2,0.4,0.2,0.5,1.1,0.30000000000000004,0.8,0.4,1.0,231.4128472222222,0.9,0.30000000000000004
2011-07-09,0.0,1.0,1.9000000000000001,1.0,2.5,1.0,1.2000000000000002,1.1,1.6,1.1,1.0,231.6434027777778,1.3,2.4000000000000004
